FSCS Key,Library Name,Locale,Service Area Population,Total Circulation,Percentage of Children's Material Circulation,Electronic Material Circulation,Print Material Circulation,Other Physical Item Circulation
AL0091,BESSEMER PUBLIC LIBRARY,Suburban,"26,043","37,623",17,"14,826","22,797",0
AL0092,MOUNTAIN BROOK - EMMET O`NEAL LIBRARY,Suburban,"20,034","434,883",52,"86,475","348,408",34
AL0093,FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY,Suburban,"10,457","1,891",24,549,"1,342",0
AL0094,FULTONDALE PUBLIC LIBRARY,Suburban,"9,269","17,694",21,"6,156","11,538",0
AL0095,GARDENDALE - MARTHA MOORE PUBLIC LIBRARY,Suburban,"14,113","115,643",40,"23,946","91,697",71
AL0096,GRAYSVILLE PUBLIC LIBRARY,Suburban,"2,066","10,859",14,"3,174","7,685",0
AL0097,HOMEWOOD PUBLIC LIBRARY,Suburban,"25,174","492,672",45,"163,441","329,231","3,728"
AL0098,HOOVER PUBLIC LIBRARY,City,"85,959","1,292,652",44,"343,129","949,523","41,959"
AL0099,HUEYTOWN PUBLIC LIBRARY,Suburban,"15,202","29,611",24,"7,180","22,431",22
AL0100,IRONDALE PUBLIC LIBRARY,Suburban,"13,226","61,203",36,"14,800","46,403",155
AL0101,LEEDS - JANE CULBRETH LIBRARY,Suburban,"12,026","45,832",33,"17,774","28,058",75
AL0102,MIDFIELD PUBLIC LIBRARY,Suburban,"4,955","1,526",23,968,558,
AL0102,MIDFIELD PUBLIC LIBRARY,Suburban,"4,955",,,,,-1
AL0103,PLEASANT GROVE PUBLIC LIBRARY,Suburban,"9,578","20,320",28,"4,969","15,351",99
AL0104,TARRANT PUBLIC LIBRARY,Suburban,"6,081","23,760",37,"1,021","22,739",0
AL0105,TRUSSVILLE PUBLIC LIBRARY,Suburban,"23,048","284,574",48,"54,625","229,949",488
AL0106,VESTAVIA HILLS LIBRARY IN THE FOREST,Suburban,"34,317","455,757",37,"156,241","299,516","3,415"
AL0107,WARRIOR PUBLIC LIBRARY,Rural,"3,190","30,981",29,"10,386","20,595",221
AL0108,BIRMINGHAM PUBLIC LIBRARY,City,"206,950","539,780",22,"200,832","338,948",516
AL0109,FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY,Town,"58,724","37,222",6,"10,341","26,881","9,049"
AL0110,COLLINSVILLE PUBLIC LIBRARY,Rural,"1,938","2,403",29,50,"2,353",0
AL0111,GERALDINE PUBLIC LIBRARY,Rural,896,"6,710",22,667,"6,043",354
AL0112,RAINSVILLE PUBLIC LIBRARY,Rural,"5,149","35,501",51,"3,207","32,294",40
AL0113,ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM,Town,"20,814","5,990",20,"3,982","2,008",0
AL0114,ATMORE PUBLIC,Town,"8,949","42,467",15,"4,203","38,264","1,750"
AL0115,BREWTON PUBLIC LIBRARY,Town,"5,141","42,214",8,"12,701","29,513","1,702"
AL0116,FLOMATON PUBLIC LIBRARY,Town,"1,377","11,695",27,672,"11,023",479
AL0117,GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY,City,"66,102","80,585",23,"18,345","62,240",0
AL0118,ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY,Suburban,"5,832","3,282",11,"1,070","2,212",79
AL0119,RAINBOW CITY PUBLIC LIBRARY,Suburban,"9,603","71,963",46,"15,198","56,765",247
AL0121,DEMOPOLIS PUBLIC LIBRARY,Town,"11,710","24,328",48,"4,985","19,343",138
AL0122,MARENGO COUNTY PUBLIC LIBRARY,Rural,"7,023","7,857",4,0,"7,857",0
AL0123,MARSHALL COUNTY COOPERATIVE LIBRARY,Rural,"47,523","22,134",32,0,"22,134",515
AL0124,ARAB PUBLIC LIBRARY,Town,"8,406","44,528",35,"10,964","33,564",0
AL0125,BOAZ PUBLIC LIBRARY,Town,"9,706","100,235",45,"19,826","80,409",219
