FSCS Key,Library Name,Locale,Service Area Population,Total Library Programs,Children's Programs,Young Adult Programs,Adult Programs,Total Program Attendance,Children's Program Attendance,Adult Program Attendance,General Interest Program Attendance,General Interest Programs
AL0018,HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY,Rural,"3,408",71,18,3,4,"2,270",156,58,"2,020",46
AL0019,OXFORD PUBLIC LIBRARY,City,"21,216",550,253,6,291,"5,709","4,593",971,0,0
AL0020,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,Town,"15,300",90,61,1,15,"3,926","3,463",135,320,13
AL0022,ABBEVILLE MEMORIAL LIBRARY,Rural,"7,514",16,12,2,2,259,234,16,0,0
AL0024,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,Town,"9,709",59,31,1,27,"1,810","1,536",270,0,0
AL0025,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,Rural,"5,983",176,123,4,29,"2,449","1,322",233,879,20
AL0026,OZARK - DALE COUNTY PUBLIC LIBRARY,Town,"36,876",133,65,26,32,"1,555","1,039",80,57,10
AL0029,CLIO - ELTON B. STEPHENS LIBRARY,Rural,"3,372",16,10,6,0,16,10,0,0,0
AL0030,LOUISVILLE PUBLIC LIBRARY,Rural,"2,560",0,0,0,0,0,0,0,0,0
AL0031,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,Suburban,"2,377",12,12,0,0,65,65,0,0,0
AL0032,NEWTON PUBLIC LIBRARY,Rural,"2,079",259,100,78,63,"2,331",972,681,118,18
AL0033,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,Rural,"4,933",1,0,1,0,12,0,0,0,0
AL0034,TROY PUBLIC LIBRARY,Town,"26,983",30,18,7,5,797,713,41,0,0
AL0035,UNION SPRINGS PUBLIC LIBRARY,Town,"9,976",0,0,0,0,0,0,0,0,0
AL0037,ANDALUSIA PUBLIC LIBRARY,Town,"17,867",72,62,0,0,"8,048","3,598",0,"4,450",10
AL0038,BRANTLEY PUBLIC LIBRARY,Rural,"3,412",0,0,0,0,0,0,0,0,0
AL0039,ELBA PUBLIC LIBRARY,Rural,"10,013",149,71,4,69,"1,367",641,412,310,5
AL0040,GENEVA - EMMA KNOX KENAN LIBRARY,Town,"8,206",0,0,0,0,0,0,0,0,0
AL0041,ENTERPRISE PUBLIC LIBRARY,Town,"43,217",116,88,28,0,"2,918","2,584",0,0,0
AL0042,FLORALA PUBLIC LIBRARY,Rural,"6,298",76,0,0,0,344,0,0,344,76
AL0043,HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,Rural,"6,535",35,7,2,20,755,230,66,449,6
AL0044,LUVERNE PUBLIC LIBRARY,Rural,"10,269",193,178,6,5,"4,922","4,140",183,431,4
AL0045,OPP PUBLIC LIBRARY,Rural,"12,765",15,10,4,1,499,473,5,0,0
AL0046,SAMSON PUBLIC LIBRARY,Rural,"5,797",5,3,1,0,60,50,0,8,1
AL0047,SLOCOMB PUBLIC LIBRARY,Rural,"5,873",80,6,5,65,970,40,850,20,4
AL0048,HORSESHOE BEND REGIONAL LIBRARY,Rural,"151,407",162,162,0,0,"3,673","3,673",0,0,0
AL0049,ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,Town,"14,142",99,70,0,28,"2,706","1,899",729,78,1
AL0050,DADEVILLE PUBLIC LIBRARY,Rural,"3,007",41,33,0,8,577,552,25,0,0
AL0051,GOODWATER PUBLIC LIBRARY,Rural,"1,288",4,0,0,0,129,0,0,129,4
AL0052,AUBURN PUBLIC LIBRARY,City,"68,343","1,546","1,362",23,90,"28,785","21,277","1,164","6,207",71
AL0053,OPELIKA PUBLIC LIBRARY,City,"31,135",519,271,126,111,"13,887","6,273","2,517","4,273",11
AL0054,MILLBROOK PUBLIC LIBRARY,Suburban,"16,117",74,58,16,0,772,701,0,0,0
AL0055,ROCKFORD PUBLIC LIBRARY,Rural,440,5,5,0,0,40,40,0,0,0
AL0056,TALLASSEE COMMUNITY PUBLIC LIBRARY,Rural,"4,454",31,20,0,9,"1,000",930,40,30,2
AL0057,WETUMPKA PUBLIC LIBRARY,Town,"8,431",96,72,7,17,"2,060","1,780",246,0,0
AL0059,FLORENCE - LAUDERDALE PUBLIC LIBRARY,City,"90,402",551,328,138,77,"11,535","7,842","1,593",281,8
AL0060,TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY,Suburban,"12,758",76,54,11,6,"1,387","1,175",53,77,5
AL0061,LEIGHTON PUBLIC LIBRARY,Rural,"5,050",39,13,4,7,"2,588","1,066",480,402,15
AL0062,MUSCLE SHOALS PUBLIC LIBRARY,City,"19,173",151,121,12,12,"3,300","2,940",120,60,6
AL0063,ROGERSVILLE PUBLIC LIBRARY,Rural,"1,293",213,182,8,23,"2,110","1,896",180,0,0
AL0064,SHEFFIELD PUBLIC LIBRARY,Suburban,"13,135",19,7,0,12,"1,454",611,843,0,0
AL0065,NORTHWEST REGIONAL LIBRARY,Rural,"34,266",0,0,0,0,0,0,0,0,0
AL0066,HAMILTON - CLYDE NIX PUBLIC LIBRARY,Town,"6,645",10,7,0,3,385,355,30,0,0
AL0067,KENNEDY PUBLIC LIBRARY,Rural,421,4,4,0,0,80,80,0,0,0
AL0068,GUIN - MCHS COMMUNITY LIBRARY,Rural,"2,250",4,4,0,0,119,119,0,0,0
AL0069,MILLPORT PUBLIC LIBRARY,Rural,970,4,4,0,0,58,58,0,0,0
AL0070,RUSSELLVILLE PUBLIC LIBRARY,Town,"19,078",104,86,7,5,"2,593","1,556",320,85,6
AL0071,SULLIGENT PUBLIC LIBRARY,Rural,"1,834",4,4,0,0,120,120,0,0,0
AL0072,VERNON - MARY WALLACE COBB MEMORIAL LIBRARY,Rural,"1,843",80,40,5,35,"8,586","8,377",139,0,0
AL0073,RED BAY - WEATHERFORD PUBLIC LIBRARY,Rural,"3,108",4,4,0,0,120,120,0,0,0
AL0074,WINFIELD PUBLIC LIBRARY,Rural,"4,559",24,11,0,13,888,818,70,0,0
AL0076,ATHENS - LIMESTONE PUBLIC LIBRARY,Town,"102,228",697,253,52,210,"14,162","6,025","2,651","5,108",182
AL0077,DECATUR PUBLIC LIBRARY,City,"87,765",176,133,2,40,"3,732","2,557",571,562,1
AL0078,HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,Suburban,"22,927",109,85,0,18,"1,859","1,597",96,166,6
