FSCS Key,Library Name,Locale,Service Area Population,Central Library,Branch Library,Bookmobiles
AL0164,CITRONELLE MEMORIAL LIBRARY,Rural,"3,873",1,0,0
AL0165,GROVE HILL PUBLIC LIBRARY,Rural,"6,121",1,0,0
AL0166,HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY,City,"379,453",1,9,1
AL0167,EUTAW - JAMES C. POOLE JR. MEMORIAL LIBRARY,Rural,"7,990",1,0,0
AL0168,GREENVILLE - BUTLER COUNTY PUBLIC LIBRARY,Town,"19,504",1,0,0
AL0169,HALE COUNTY LIBRARY,Rural,"6,310",1,0,0
AL0170,CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY,Suburban,"5,659",1,0,0
AL0171,JACKSON - WHITE SMITH MEMORIAL LIBRARY,Town,"8,993",1,0,0
AL0172,MARION - PERRY COUNTY PUBLIC LIBRARY,Rural,"5,142",1,0,0
AL0173,WOODVILLE PUBLIC LIBRARY,Rural,719,1,0,0
AL0174,CITY OF BAYOU LA BATRE PUBLIC LIBRARY,Rural,"2,457",1,0,0
AL0175,SCOTTSBORO PUBLIC LIBRARY,Town,"36,784",1,0,0
AL0176,ONEONTA PUBLIC LIBRARY,Town,"43,817",1,0,0
AL0177,THOMASVILLE PUBLIC LIBRARY,Rural,"8,177",1,0,0
AL0178,MACON COUNTY - TUSKEGEE PUBLIC LIBRARY,Town,"17,895",1,0,0
AL0179,MOUNDVILLE PUBLIC LIBRARY,Town,"5,789",1,0,0
AL0180,UNIONTOWN PUBLIC LIBRARY,Rural,"3,545",1,0,0
AL0181,PRICHARD PUBLIC LIBRARY,Suburban,"21,294",1,1,0
AL0182,WASHINGTON COUNTY PUBLIC LIBRARY,Rural,"15,976",1,1,1
AL0184,EVERGREEN PUBLIC LIBRARY,Town,"11,851",1,0,0
AL0186,MOBILE PUBLIC LIBRARY,City,"371,723",1,8,1
AL0187,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY,City,"224,639",1,9,1
AL0188,WHITE HALL PUBLIC LIBRARY,Rural,"2,053",1,0,0
AL0189,STEVENSON PUBLIC LIBRARY,Rural,"5,097",1,0,0
AL0190,KILLEN PUBLIC LIBRARY,Suburban,962,1,0,0
AL0191,LEXINGTON - BURCHELL CAMPBELL MEMORIAL LIBRARY,Rural,711,1,0,0
AL0192,AUTAUGA - PRATTVILLE PUBLIC LIBRARY,Rural,"56,145",1,3,0
AL0193,FAYETTE COUNTY MEMORIAL LIBRARY,Town,"16,241",1,0,0
AL0194,PHENIX CITY - RUSSELL COUNTY PUBLIC LIBRARY,Suburban,"58,237",1,0,0
AL0195,SELMA - DALLAS COUNTY PUBLIC LIBRARY,Town,"36,098",1,0,0
AL0196,TUSCALOOSA PUBLIC LIBRARY,City,"210,758",1,2,1
AL0197,WILCOX COUNTY LIBRARY,Rural,"10,206",1,2,0
AL0198,MONROE COUNTY PUBLIC LIBRARY,Town,"20,459",1,0,0
AL0199,CULLMAN COUNTY PUBLIC LIBRARY,Town,"84,515",1,4,1
AL0200,VALLEY - H. GRADY BRADSHAW / CHAMBERS COUNTY LIBRARY,Town,"32,865",1,1,0
AL0203,HOKES BLUFF PUBLIC LIBRARY,Suburban,"4,240",1,0,0
AL0204,RAGLAND PUBLIC LIBRARY,Rural,"8,475",1,0,0
AL0206,HAYNEVILLE - LOWNDES COUNTY PUBLIC LIBRARY,Rural,"5,126",1,0,0
AL0208,IDER PUBLIC LIBRARY,Rural,737,1,0,0
AL0209,EUFAULA CARNEGIE LIBRARY,Town,"13,724",1,0,0
AL0210,GRANT PUBLIC LIBRARY,Rural,902,1,0,0
AL0211,DALEVILLE PUBLIC LIBRARY,Town,"7,627",1,0,0
AL0216,COURTLAND PUBLIC LIBRARY,Rural,"1,203",1,0,0
AL0217,EVA PUBLIC LIBRARY,Rural,943,1,0,0
AL0218,CROSSVILLE PUBLIC LIBRARY,Rural,"1,847",1,0,0
AL0219,WALNUT GROVE - WESTSIDE PUBLIC LIBRARY,Rural,692,1,0,0
AL0222,ORANGE BEACH PUBLIC LIBRARY,Suburban,"6,343",1,0,0
AL0223,SATSUMA PUBLIC LIBRARY,Suburban,"6,206",1,0,0
AL0225,FALKVILLE PUBLIC LIBRARY,Rural,"1,701",1,0,0
AL0226,SPRINGVILLE PUBLIC LIBRARY,Town,"11,142",1,0,0
AL0227,BRIDGEPORT - LENA CAGLE PUBLIC LIBRARY,Town,"5,473",1,0,0
AL0229,WEST BLOCTON PUBLIC LIBRARY,Rural,"1,228",1,0,0
AL0231,CARBON HILL CITY LIBRARY,Rural,"1,885",1,0,0
AL0238,OHATCHEE PUBLIC LIBRARY,Rural,"1,148",1,0,0
AL0239,SOMERVILLE PUBLIC LIBRARY,Rural,"1,227",1,0,0
AL0240,CHELSEA PUBLIC LIBRARY,Suburban,"14,608",1,0,0
AL0241,DUTTON PUBLIC LIBRARY,Rural,"3,509",1,0,0
AL0242,FORT DEPOSIT PUBLIC LIBRARY,Rural,"2,462",1,0,0
AL0243,SUMMERDALE - MARJORIE YOUNCE SNOOK PUBLIC LIBRARY,Rural,"1,792",1,0,0
AL0244,CLAY PUBLIC LIBRARY,Rural,"10,042",1,0,0
AL0245,ECLECTIC PUBLIC LIBRARY,Rural,"1,008",1,0,0
AL0246,HOBSON CITY PUBLIC LIBRARY,Suburban,749,1,0,0
AL0247,MUNFORD PUBLIC LIBRARY,Rural,"1,345",1,0,0
AL0248,SOUTHSIDE PUBLIC LIBRARY,Suburban,"9,046",1,0,0
AL0249,STEELE PUBLIC LIBRARY,Rural,"7,850",1,0,0
AL0250,PINSON PUBLIC LIBRARY,Suburban,"7,060",1,0,0
AL0251,GLENCOE PUBLIC LIBRARY,Suburban,"5,080",1,0,0
AL0252,MAGNOLIA SPRINGS PUBLIC LIBRARY,Rural,831,1,0,0
AL0253,TOWN CREEK PUBLIC LIBRARY,Rural,"1,046",1,0,0
AL0254,JEFFERSON COUNTY LIBRARY COOPERATIVE,City,"96,526",1,0,0
AL0256,PICKENS COUNTY COOPERATIVE LIBRARY,Rural,"13,487",1,0,0
AL0257,R.L. HADDEN MEMORIAL LIBRARY,Rural,"2,367",1,0,0
AL8004,MT. VERNON PUBLIC LIBRARY,Rural,"1,504",1,0,0
AL8007,LINDA DURAN PUBLIC LIBRARY,Rural,"5,320",1,0,0
AL8008,SARDIS CITY PUBLIC LIBRARY,Rural,"1,776",1,0,0
AL8009,WOODSTOCK COMMUNITY LIBRARY,Rural,"2,628",1,0,0
AL8010,NEWBERN PUBLIC LIBRARY,Rural,832,1,0,0
AL8011,SPANISH FORT PUBLIC LIBRARY,Suburban,"9,460",1,0,0
AL8012,ELBERTA PUBLIC LIBRARY,Rural,"1,753",1,0,0
AL8013,CENTER POINT PUBLIC LIBRARY,Suburban,"15,815",1,0,0
AR0001,CENTRAL ARKANSAS LIBRARY SYSTEM,City,"336,463",1,13,0
AR0002,WASHINGTON COUNTY LIBRARY SYSTEM,City,"151,597",1,8,0
AR0003,MARION COUNTY LIBRARY,Rural,"16,694",1,0,0
AR0004,SOUTHWEST ARKANSAS REGIONAL LIBRARY,Town,"18,970",1,4,0
AR0005,MID ARKANSAS REGIONAL LIBRARY SYSTEM,Town,"189,438",1,6,1
AR0006,GARLAND COUNTY LIBRARY,City,"99,386",1,0,0
AR0007,WHITE RIVER REGIONAL LIBRARY,Rural,"80,973",1,14,0
AR0008,PINE BLUFF/JEFFERSON COUNTY LIBRARY SYSTEM,City,"66,824",1,4,0
AR0009,CROWLEY RIDGE REGIONAL LIBRARY,City,"133,860",1,7,0
AR0010,COLUMBIA COUNTY LIBRARY,Town,"23,457",1,1,0
AR0011,FORT SMITH PUBLIC LIBRARY,City,"87,891",1,3,0
AR0012,ARKANSAS RIVER VALLEY REGIONAL LIBRARY,Town,"87,100",1,6,0
AR0013,NORTHEAST ARKANSAS REGIONAL LIBRARY,Town,"75,834",1,4,0
AR0014,SOUTHEAST ARKANSAS REGIONAL LIBRARY,Town,"63,485",1,9,0
AR0015,PHILLIPS LEE MONROE REGIONAL LIBRARY SYSTEM,Town,"33,340",1,5,0
AR0016,NORTH LITTLE ROCK PUBLIC LIBRARY SYSTEM,City,"65,903",1,1,0
AR0017,FAULKNER-VAN BUREN REGIONAL LIBRARY SYSTEM,City,"142,552",1,7,0
AR0019,WHITE COUNTY REGIONAL LIBRARY SYSTEM,Town,"78,753",1,8,0
AR0020,BARTON LIBRARY,Town,"38,682",1,5,0
AR0021,POPE COUNTY LIBRARY SYSTEM,Town,"64,072",1,3,1
AR0023,SCOTT SEBASTIAN REGIONAL LIBRARY,Town,"50,217",1,4,0
AR0024,EAST CENTRAL ARKANSAS REGIONAL LIBRARY SYSTEM,Town,"22,739",1,4,0
AR0025,WEST MEMPHIS PUBLIC LIBRARY,Suburban,"24,402",1,0,0
AR0026,ASHLEY COUNTY LIBRARY,Town,"20,492",1,1,0
AR0027,W.A. BILLINGSLEY/JACKSON COUNTY LIBRARY,Town,"16,719",1,1,0
