FSCS Key,Library Name,Locale,Suppression Note,Service Area Population,Internet Computers,Computer Uses,Wireless Sessions
AL0071,SULLIGENT PUBLIC LIBRARY,Rural,,"1,834",5,287,722
AL0072,VERNON - MARY WALLACE COBB MEMORIAL LIBRARY,Rural,,"1,843",9,968,"1,161"
AL0073,RED BAY - WEATHERFORD PUBLIC LIBRARY,Rural,,"3,108",7,995,54
AL0074,WINFIELD PUBLIC LIBRARY,Rural,,"4,559",10,519,268
AL0076,ATHENS - LIMESTONE PUBLIC LIBRARY,Town,,"102,228",34,"5,755","9,981"
AL0077,DECATUR PUBLIC LIBRARY,City,,"87,765",37,"8,105","34,370"
AL0078,HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,Suburban,,"22,927",6,"1,173","1,000"
AL0079,LAWRENCE COUNTY PUBLIC LIBRARY,Rural,,"30,608",10,"1,110","4,824"
AL0080,BALDWIN COUNTY LIBRARY COOPERATIVE,Town,,"102,040",4,"14,170","21,814"
AL0081,DAPHNE PUBLIC LIBRARY,City,,"27,719",42,"3,106","5,460"
AL0082,FAIRHOPE PUBLIC LIBRARY,City,,"23,584",65,"11,020","80,014"
AL0083,FOLEY PUBLIC LIBRARY,Town,,"21,446",36,"20,386","20,348"
AL0084,BAY MINETTE PUBLIC LIBRARY,Town,,"9,509",11,"4,443","19,034"
AL0085,LOXLEY PUBLIC LIBRARY,Suburban,,"3,329",9,570,139
AL0086,OSCAR JOHNSON MEMORIAL LIBRARY,Town,,"1,285",2,5,150
AL0087,ROBERTSDALE PUBLIC LIBRARY,Town,,"7,030",6,"4,679","201,584"
AL0088,GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY,Town,,"13,166",24,"5,119",
AL0088,GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY,Town,Data Note: Missing,"13,166",,,-1
AL0090,ADAMSVILLE PUBLIC LIBRARY,Suburban,,"4,211",10,"2,047",
AL0090,ADAMSVILLE PUBLIC LIBRARY,Suburban,Data Note: Missing,"4,211",,,-1
AL0091,BESSEMER PUBLIC LIBRARY,Suburban,,"26,043",40,"9,950",0
AL0092,MOUNTAIN BROOK - EMMET O`NEAL LIBRARY,Suburban,,"20,034",22,"5,954","53,681"
AL0093,FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY,Suburban,,"10,457",8,881,
AL0093,FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY,Suburban,Data Note: Missing,"10,457",,,-1
AL0094,FULTONDALE PUBLIC LIBRARY,Suburban,,"9,269",12,"4,039",
AL0094,FULTONDALE PUBLIC LIBRARY,Suburban,Data Note: Missing,"9,269",,,-1
AL0095,GARDENDALE - MARTHA MOORE PUBLIC LIBRARY,Suburban,,"14,113",11,"9,576",0
AL0096,GRAYSVILLE PUBLIC LIBRARY,Suburban,,"2,066",4,"1,247",
AL0096,GRAYSVILLE PUBLIC LIBRARY,Suburban,Data Note: Missing,"2,066",,,-1
AL0097,HOMEWOOD PUBLIC LIBRARY,Suburban,,"25,174",55,"16,061","15,160"
AL0098,HOOVER PUBLIC LIBRARY,City,,"85,959",54,"30,019","127,510"
AL0099,HUEYTOWN PUBLIC LIBRARY,Suburban,,"15,202",11,"8,052",
AL0099,HUEYTOWN PUBLIC LIBRARY,Suburban,Data Note: Missing,"15,202",,,-1
AL0100,IRONDALE PUBLIC LIBRARY,Suburban,,"13,226",5,"5,524",
AL0100,IRONDALE PUBLIC LIBRARY,Suburban,Data Note: Missing,"13,226",,,-1
AL0101,LEEDS - JANE CULBRETH LIBRARY,Suburban,,"12,026",4,950,
AL0101,LEEDS - JANE CULBRETH LIBRARY,Suburban,Data Note: Missing,"12,026",,,-1
AL0102,MIDFIELD PUBLIC LIBRARY,Suburban,,"4,955",,"2,459",
AL0102,MIDFIELD PUBLIC LIBRARY,Suburban,Data Note: Missing,"4,955",-1,,-1
AL0103,PLEASANT GROVE PUBLIC LIBRARY,Suburban,,"9,578",15,"2,940",
AL0103,PLEASANT GROVE PUBLIC LIBRARY,Suburban,Data Note: Missing,"9,578",,,-1
AL0104,TARRANT PUBLIC LIBRARY,Suburban,,"6,081",9,"3,318","2,184"
AL0105,TRUSSVILLE PUBLIC LIBRARY,Suburban,,"23,048",15,"8,477",
AL0105,TRUSSVILLE PUBLIC LIBRARY,Suburban,Data Note: Missing,"23,048",,,-1
AL0106,VESTAVIA HILLS LIBRARY IN THE FOREST,Suburban,,"34,317",44,"9,395","42,606"
